STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194944381 GHz,
TABLE,Region GeracaoSistemaLinear,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000141,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,544749
CPU_CLK_UNHALTED_CORE,FIXC1,271065
CPU_CLK_UNHALTED_REF,FIXC2,283932
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,139274
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region GeracaoSistemaLinear,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0001,
Runtime unhalted [s],0.0001,
Clock [MHz],2095.4757,
CPI,0.4976,
DP [MFLOP/s],989.2786,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],989.2786,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194944381 GHz,
TABLE,Region SolucaoSistemaLinear,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000004,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,16193
CPU_CLK_UNHALTED_CORE,FIXC1,13723
CPU_CLK_UNHALTED_REF,FIXC2,14366
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,15
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,1030
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region SolucaoSistemaLinear,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],3.715809e-06,
Runtime unhalted [s],6.252095e-06,
Clock [MHz],2096.7021,
CPI,0.8475,
DP [MFLOP/s],285.2676,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],4.0368,
Scalar [MUOPS/s],277.1940,
Vectorization ratio,1.4354,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194944381 GHz,
TABLE,Region CalculoResiduos,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000037,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,164676
CPU_CLK_UNHALTED_CORE,FIXC1,83518
CPU_CLK_UNHALTED_REF,FIXC2,87494
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,36490
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,0
TABLE,Region CalculoResiduos,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],3.705239e-05,
Runtime unhalted [s],3.805017e-05,
Clock [MHz],2095.1993,
CPI,0.5072,
DP [MFLOP/s],984.8218,
AVX DP [MFLOP/s],0,
Packed [MUOPS/s],0,
Scalar [MUOPS/s],984.8218,
Vectorization ratio,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,
CPU type:,Intel Core Broadwell processor,
CPU clock:,2.194944381 GHz,
TABLE,Region GeracaoSistemaLinearOtim,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000119,
call count,1,
Event,Counter,HWThread 3
